X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,4333,669,0.780034621,4779.92373,0,1,19.4962433,-195
-13000,4333,484,1,5620.60739,0,1,0,-10
-13000,4333,684,0.894771723,4499.950656,0,1,7.889038679,-210
-13000,4333,464,1,6855.082351,0,1,0,10
-13000,4333,664,0.966296276,6400.785709,0,1,2.790514171,-190
-13000,4333,489,1,7858.344772,0,1,0,-15
-13000,4333,689,0.883719664,6137.056422,0,1,10.3079385,-215
-13000,4333,459,1,7921.162471,0,1,0,15
-13000,4333,659,0.867888153,5966.45599,0,1,11.75807496,-185
-13000,4333,494,1,6622.64971,0,1,0,-20
-13000,4333,694,0.923233833,5644.886407,0,1,6.247204901,-220
-13000,4333,454,1,8169.828504,0,1,0,20
-13000,4333,654,0.901099955,6633.746576,0,1,8.939288586,-180
-13000,4333,499,1,7382.661967,0,1,0,-25
-13000,4333,699,0.875295384,5656.16747,0,1,10.7149222,-225
-13000,4333,449,1,8090.295797,0,1,0,25
-13000,4333,649,0.851406768,5864.602712,0,1,13.36537748,-175
-13000,4333,504,1,6133.692188,0,1,0,-30
-13000,4333,704,0.98487164,5949.510583,0,1,1.18482126,-230
-13000,4333,444,1,8252.359489,0,1,0,30
-13000,4333,644,0.893869337,6593.654967,0,1,9.641174577,-170
-13000,4333,509,1,5535.882335,0,1,0,-35
-13000,4333,709,1.032958022,5906.799053,1,1,2.452192565,-235
-13000,4333,439,1,6728.45647,0,1,0,35
-13000,4333,639,0.865096667,5035.524627,0,1,11.06573854,-165
-13000,4333,514,1,6241.721403,0,1,0,-40
-13000,4333,714,0.898895046,5043.387686,0,1,7.987753008,-240
-13000,4333,434,1,8281.247732,0,1,0,40
-13000,4333,634,0.898880888,6691.13927,0,1,9.201976866,-160
-13000,4333,519,1,7037.904624,0,1,0,-45
-13000,4333,719,0.891446941,5592.865493,0,1,9.106757171,-245
-13000,4333,429,1,6091.727096,0,1,0,45
-13000,4333,629,0.964749046,5669.818471,0,1,2.751319952,-155
-13000,4333,524,1,6687.932493,0,1,0,-50
-13000,4333,724,0.905487237,5483.483582,0,1,7.729232989,-250
-13000,4333,424,1,8582.658338,0,1,0,50
-13000,4333,624,0.781060758,5235.901426,0,1,20.28310888,-150
-13000,4333,274,1,5786.212648,0,1,0,200
-13000,4333,474,1.30209721,9810.275567,1,1,22.97967642,0
-13000,4333,674,1,6250.36847,0,1,0,-200
-13000,4333,874,0.796973198,3970.023275,0,1,16.05115117,-400
-13000,4333,874,1,3949.829236,0,1,0,-400
-13000,4333,1074,0.766442199,2320.262584,0,1,14.67856287,-600
-13000,4333,100,1,7441.918996,0,1,0,374
-13000,4333,300,1.106848777,9117.200747,1,1,9.217476184,174
-13000,4333,100,1,7818.013827,0,1,0,374
-13000,4333,300,1.082647218,9163.689454,1,1,7.307628464,174
-13000,4333,1074,1,2420.873516,0,1,0,-600
-13000,4333,1274,0.864054822,1807.401737,0,1,6.688825383,-800
-13000,4333,1274,1,1849.100746,0,1,0,-800
-13000,4333,1474,0.82346709,1253.871607,0,1,7.591121928,-1000
-13000,4333,100,1,7508.600951,0,1,0,374
-13000,4333,300,0.890988965,5960.787981,0,1,9.446044235,174
-13000,4333,100,1,1805.623693,0,1,0,374
-13000,4333,300,2.100423151,7966.009824,1,1,46.75987494,174
-13000,4333,1474,1,1419.064006,0,1,0,-1000
-13000,4333,1674,0.900475158,1150.655867,0,1,3.749147188,-1200
-13000,4333,1674,1,1166.225015,0,1,0,-1200
-13000,4333,1874,0.92728424,1002.785649,0,1,2.483245878,-1400
-13000,4333,100,1,8542.726728,0,1,0,374
-13000,4333,300,1.036498047,9177.692237,1,1,3.373400308,174
-13000,4333,1874,1,1041.742972,0,1,0,-1400
-13000,4333,2074,0.961550725,963.1745057,0,1,1.240990466,-1600
-13000,4333,100,1,7837.559349,0,1,0,374
-13000,4333,300,1.025171136,8237.085664,1,1,2.228400461,174
-13000,4333,100,1,7547.303461,0,1,0,374
-13000,4333,300,1.020124032,7854.124297,1,1,1.748279671,174
-13000,4333,2074,1,962.0946796,0,1,0,-1600
-13000,4333,2274,0.977317701,918.9446261,0,1,0.703551636,-1800
-13000,4333,2274,1,918.2999102,0,1,0,-1800
-13000,4333,2474,0.989163693,898.505783,0,1,0.328377629,-2000
-13000,4333,100,1,7855.995172,0,1,0,374
-13000,4333,300,1.01976462,8169.605554,1,1,1.751818334,174
-13000,4333,100,1,7598.531856,0,1,0,374
